day,lat,lon,date,distance,distanceTotal,bearing
1,32.75755,-117.2587,18-Sep-12,0,0,180
2,32.2788,-117.4698667,19-Sep-12,30.65,30.65,187.82
3,31.67006667,-117.4695,20-Sep-12,36.52,67.17,167.42
4,30.21006667,-117.7541667,21-Sep-12,88.82,155.99,177.05
5,29.74823333,-117.59315,22-Sep-12,28.95,184.94,150.95
6,29.30801667,-117.4355333,23-Sep-12,27.67,212.61,150.55
7,28.91806667,-117.3253667,24-Sep-12,24.1,236.71,154.1
8,28.72105,-117.3813,25-Sep-12,12.18,248.89,182.01
9,28.29138333,-117.5694333,26-Sep-12,27.62,276.51,189.11
10,27.99543333,-118.1287,27-Sep-12,34.51,311.02,227.13
11,27.33448333,-119.0743833,28-Sep-12,64.02,375.04,219.77
12,26.99036667,-119.5184167,29-Sep-12,31.44,406.48,216.95
13,26.63755,-119.8573833,29-Sep-12,27.88,434.36,208.62
14,26.28365,-120.1895667,30-Sep-12,27.74,462.1,208.06
15,25.89185,-120.6030833,30-Sep-12,32.39,494.49,211.51
16,25.5664,-121.0013667,1-Oct-12,29.06,523.55,215.85
17,25.15831667,-121.6182667,1-Oct-12,41.45,565,221.86
18,24.53508333,-122.7317333,2-Oct-12,71.23,636.23,226.41
19,24.31318333,-123.76725,3-Oct-12,58.12,694.35,244.85
20,24.35638333,-124.65695,4-Oct-12,48.71,743.06,261.11
21,24.33803333,-125.3501833,5-Oct-12,37.91,780.97,256.34
22,24.23861667,-126.36535,5-Oct-12,55.84,836.81,251.84
23,24.30541667,-127.4483167,6-Oct-12,59.37,896.18,261.83
24,24.14376667,-128.47705,7-Oct-12,57.12,953.3,248.14
25,24.10643333,-129.4718833,8-Oct-12,54.52,1007.82,255.58
26,24.12043333,-129.90915,9-Oct-12,23.96,1031.78,259.95
27,24.08155,-130.5514667,9-Oct-12,35.26,1067.04,254.14
28,23.49201667,-131.2192167,10-Oct-12,50.94,1117.98,213.98
29,22.87153333,-132.0428833,11-Oct-12,58.74,1176.72,218.75
30,22.114,-133.0343333,12-Oct-12,71.32,1248.04,218.64
31,22.05081667,-134.5054,13-Oct-12,81.88,1329.92,255.75
32,22.08161667,-136.0103667,14-Oct-12,83.71,1413.63,259.75
33,22.06345,-137.6254833,15-Oct-12,89.82,1503.45,257.86
34,22.1219,-138.9186167,16-Oct-12,71.98,1575.43,261.46
35,22.11241667,-140.2151167,17-Oct-12,72.07,1647.5,258.3
36,22.17083333,-142.8776167,19-Oct-12,148.01,1795.51,260.21
37,22.10136667,-144.5673167,20-Oct-12,94,1889.51,256.54
38,22.0682,-146.0248333,21-Oct-12,81.06,1970.57,257.85
39,21.89748333,-147.5230333,22-Oct-12,83.98,2054.55,252.41
40,21.85476667,-148.9347833,23-Oct-12,78.65,2133.2,257.73
41,21.85318333,-150.2262,24-Oct-12,71.95,2205.15,259.68
42,21.8152,-151.5684667,25-Oct-12,74.79,2279.94,258.14
43,21.70121667,-152.6717833,26-Oct-12,61.86,2341.8,253.69
44,21.6315,-153.9632,27-Oct-12,72.13,2413.93,256.84
45,21.44756667,-154.9461833,28-Oct-12,55.96,2469.89,248.93
46,21.49833333,-155.5122333,29-Oct-12,31.75,2501.64,265.93
47,21.45708333,-156.5291,30-Oct-12,56.83,2558.47,257.97
48,21.32375,-157.9333333,31-Oct-12,79.61,2638.08,255.42
