,region,value
1,alabama,186
2,alaska,1294
3,arizona,1684
4,arkansas,278
5,california,311
6,colorado,864
7,connecticut,82
8,delaware,198
9,district of columbia,0
10,florida,195
11,georgia,217
12,hawaii,148
13,idaho,444
14,illinois,351
15,indiana,239
16,iowa,333
17,kansas,705
18,kentucky,163
19,louisiana,268
20,maine,167
21,maryland,160
22,massachusetts,68
23,michigan,182
24,minnesota,332
25,mississippi,263
26,missouri,269
27,montana,2068
28,nebraska,966
29,nevada,1903
30,new hampshire,113
31,new jersey,71
32,new mexico,2057
33,new york,193
34,north carolina,164
35,north dakota,1241
36,ohio,183
37,oklahoma,407
38,oregon,423
39,pennsylvania,123
40,rhode island,57
41,south carolina,181
42,south dakota,1374
43,tennessee,139
44,texas,527
45,utah,669
46,vermont,174
47,virginia,170
48,washington,375
49,west virginia,159
50,wisconsin,195
51,wyoming,2745
